"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"275",12,"Younghoe Koo",ATL,"K3","222","298","256.8","21.8","-"
"276",12,"Elijah Mitchell",KC,"RB85","212","305","269.0","29.0","-"
"277",12,"Gus Edwards",FA,"RB86","202","341","270.6","45.2","-"
"278",12,"Malachi Corley",NYJ,"WR112","215","319","260.4","36.6","-"
"279",12,"Pittsburgh Steelers",PIT,"DST2","166","276","233.6","27.4","-"
"280",12,"Miami Dolphins",MIA,"DST3","170","302","251.1","35.9","-"
"281",12,"Alexander Mattison",MIA,"RB87","236","328","283.5","24.4","-"
"282",12,"Philadelphia Eagles",PHI,"DST4","227","275","236.9","14.8","-"
"283",12,"Justin Tucker",BAL,"K4","201","348","265.6","39.0","-"
"284",12,"Denver Broncos",DEN,"DST5","202","277","239.4","18.1","-"
"285",12,"Kyle Monangai",FA,"RB88","192","353","267.1","47.7","-"
"286",12,"Matt Gay",FA,"K5","249","289","267.9","13.0","-"
"287",12,"Baltimore Ravens",BAL,"DST6","181","281","242.0","26.9","-"
"288",12,"Tyler Higbee",LAR,"TE41","209","342","269.3","45.2","-"
"289",12,"Zamir White",LV,"RB89","216","345","288.2","32.2","-"
"290",12,"Washington Commanders",WAS,"DST7","209","309","259.9","26.8","-"
"291",12,"Tyler Conklin",LAC,"TE42","196","338","260.0","42.6","-"
"292",12,"Will Reichard",MIN,"K6","241","259","245.8","5.4","-"
"293",12,"Jake Moody",SF,"K7","245","293","260.4","15.1","-"
"294",12,"Dyami Brown",JAC,"WR113","173","357","260.6","55.0","-"
"295",12,"Chris Boswell",PIT,"K8","222","321","273.4","26.9","-"
"296",12,"Evan McPherson",CIN,"K9","234","291","262.3","18.0","-"
"297",13,"Tutu Atwell",LAR,"WR114","209","359","284.7","43.2","-"
"298",13,"Daniel Carlson",LV,"K10","234","319","275.2","24.2","-"
"299",13,"Oronde Gadsden II",FA,"TE43","185","362","236.8","55.8","-"
"300",13,"Tyler Bass",BUF,"K11","251","290","270.5","13.2","-"
"301",13,"Arizona Cardinals",ARI,"DST8","208","385","270.7","43.8","-"
"302",13,"Curtis Samuel",BUF,"WR115","180","360","258.9","43.8","-"
"303",13,"Atlanta Falcons",ATL,"DST9","242","387","274.6","40.8","-"
"304",13,"New Orleans Saints",NO,"DST10","220","340","262.0","46.0","-"
"305",13,"New England Patriots",NE,"DST11","171","342","263.7","50.6","-"
"306",13,"Chicago Bears",CHI,"DST12","190","383","265.3","49.4","-"
"307",13,"Ty Chandler",MIN,"RB90","255","357","296.8","28.9","-"
"308",13,"Blake Grupe",NO,"K12","243","303","266.0","19.7","-"
"309",13,"Ty Johnson",BUF,"RB91","192","345","290.6","35.5","-"
"310",13,"Raheim Sanders",FA,"RB92","184","324","269.2","43.6","-"
"311",13,"Kansas City Chiefs",KC,"DST13","201","325","270.6","33.9","-"
"312",13,"Demarcus Robinson",SF,"WR116","211","376","282.8","57.1","-"
"313",13,"Noah Brown",WAS,"WR117","237","331","271.0","28.9","-"
"314",13,"Jahan Dotson",PHI,"WR118","200","347","271.1","42.9","-"
"315",13,"Dallas Cowboys",DAL,"DST14","223","299","258.6","26.1","-"
"316",13,"Savion Williams",FA,"WR119","199","330","241.7","44.7","-"
"317",13,"Tahj Brooks",FA,"RB93","200","379","290.2","53.0","-"
"318",13,"Seattle Seahawks",SEA,"DST15","251","366","290.2","40.6","-"
"319",13,"Brashard Smith",FA,"RB94","185","276","225.2","31.2","-"
"320",13,"Kirk Cousins",ATL,"QB37","204","323","248.9","39.4","-"
"321",13,"Jalen Nailor",MIN,"WR120","227","360","281.9","49.5","-"
"322",13,"Jason Sanders",MIA,"K13","240","334","282.0","25.1","-"
"323",13,"Jake Elliott",PHI,"K14","248","368","282.1","32.6","-"
"324",13,"Dawson Knox",BUF,"TE44","188","340","282.4","54.6","-"
"325",13,"A.J. Dillon",PHI,"RB95","259","370","293.3","29.3","-"
"326",13,"Cameron Dicker",LAC,"K15","244","304","270.5","17.0","-"
"327",13,"Aidan O'Connell",LV,"QB38","236","383","295.9","49.8","-"
"328",13,"Jordan James",FA,"RB96","191","325","257.1","52.4","-"
"329",13,"Gunnar Helm",FA,"TE45","140","283","204.6","51.3","-"
"330",13,"Kyle Williams",FA,"WR121","119","385","207.0","93.6","-"
"331",13,"Green Bay Packers",GB,"DST16","235","317","277.6","24.1","-"
"332",13,"Ka'imi Fairbairn",HOU,"K16","237","337","277.9","30.2","-"
"333",13,"Joshua Karty",LAR,"K17","245","380","281.1","40.7","-"
"334",13,"Donovan Edwards",FA,"RB97","236","343","281.6","35.7","-"
"335",13,"Buffalo Bills",BUF,"DST17","153","325","248.2","52.5","-"
"336",13,"Jalin Hyatt",NYG,"WR122","247","363","297.0","37.0","-"
"337",13,"Terrance Ferguson",FA,"TE46","168","364","251.0","62.3","-"
"338",13,"LeQuint Allen Jr.",FA,"RB98","193","309","227.4","41.7","-"
"339",13,"San Francisco 49ers",SF,"DST18","198","293","258.0","35.3","-"
"340",13,"Minnesota Vikings",MIN,"DST19","226","379","291.3","43.0","-"
"341",13,"Houston Texans",HOU,"DST20","258","384","291.9","37.9","-"
"342",13,"Jarquez Hunter",FA,"RB99","173","374","259.2","76.0","-"
"343",13,"Chris Rodriguez Jr.",WAS,"RB100","281","346","304.9","19.8","-"
