"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"28",4,"Jayden Daniels",WAS,"QB3","10","51","32.0","9.4","-"
"29",4,"Kyren Williams",LAR,"RB9","19","68","35.2","13.5","-"
"30",4,"James Cook",BUF,"RB10","21","55","35.7","10.0","-"
"31",4,"Josh Jacobs",GB,"RB11","12","65","36.6","16.2","-"
"32",4,"Rashee Rice",KC,"WR16","22","67","37.2","11.4","-"
"33",4,"DeVonta Smith",PHI,"WR17","23","59","38.4","11.6","-"
"34",5,"Zay Flowers",BAL,"WR18","27","76","38.5","11.0","-"
"35",5,"Joe Burrow",CIN,"QB4","24","56","38.8","7.2","-"
"36",5,"Terry McLaurin",WAS,"WR19","20","59","40.1","12.0","-"
"37",5,"Jalen Hurts",PHI,"QB5","28","52","40.4","6.0","-"
"38",5,"Omarion Hampton",FA,"RB12","20","77","41.0","16.2","-"
"39",5,"Jordan Addison",MIN,"WR20","27","75","41.3","10.8","-"
"40",5,"Sam LaPorta",DET,"TE3","22","64","42.2","9.5","-"
"41",5,"Tetairoa McMillan",FA,"WR21","18","93","42.3","21.1","-"
"42",5,"DK Metcalf",PIT,"WR22","33","69","46.4","10.6","-"
"43",5,"Kenneth Walker III",SEA,"RB13","25","66","46.6","12.4","-"
"44",5,"Chase Brown",CIN,"RB14","28","113","47.7","18.6","-"
"45",5,"Patrick Mahomes II",KC,"QB6","21","72","47.9","11.9","-"
"46",5,"DJ Moore",CHI,"WR23","35","78","48.0","12.0","-"
"47",5,"Rome Odunze",CHI,"WR24","28","92","48.2","20.4","-"
"48",5,"Chris Olave",NO,"WR25","25","79","50.0","18.1","-"
"49",5,"Derrick Henry",BAL,"RB15","11","75","50.4","20.1","-"
"50",5,"Christian McCaffrey",SF,"RB16","16","67","51.7","16.9","-"
"51",5,"George Kittle",SF,"TE4","31","79","52.4","13.6","-"
"52",5,"Jaylen Waddle",MIA,"WR26","37","83","53.2","16.1","-"
"53",6,"Justin Herbert",LAC,"QB7","43","77","55.4","9.2","-"
"54",6,"Jameson Williams",DET,"WR27","41","82","56.1","12.0","-"
"55",6,"Xavier Worthy",KC,"WR28","26","88","57.7","17.4","-"
"56",6,"T.J. Hockenson",MIN,"TE5","47","102","60.1","13.2","-"
"57",6,"Tyreek Hill",MIA,"WR29","18","106","60.4","22.4","-"
"58",6,"TreVeyon Henderson",FA,"RB17","45","77","61.3","10.9","-"
"59",6,"George Pickens",PIT,"WR30","43","95","63.1","14.2","-"
"60",6,"Brandon Aiyuk",SF,"WR31","39","92","63.5","15.4","-"
"61",6,"C.J. Stroud",HOU,"QB8","27","109","65.4","19.0","-"
"62",6,"Jordan Love",GB,"QB9","51","97","68.7","16.3","-"
"63",6,"Chuba Hubbard",CAR,"RB18","45","91","68.9","14.6","-"
"64",6,"Joe Mixon",HOU,"RB19","43","101","69.2","14.3","-"
"65",6,"Tyler Warren",FA,"TE6","40","130","69.7","22.7","-"
"66",6,"Mike Evans",TB,"WR32","29","99","70.6","19.6","-"
"67",6,"Emeka Egbuka",FA,"WR33","38","115","71.3","21.8","-"
"68",6,"Jerry Jeudy",CLE,"WR34","52","100","71.9","15.2","-"
"69",6,"David Njoku",CLE,"TE7","58","104","73.8","14.3","-"
"70",7,"David Montgomery",DET,"RB20","51","102","74.5","12.7","-"
"71",7,"Kyler Murray",ARI,"QB10","56","107","75.9","15.3","-"
"72",7,"Jayden Reed",GB,"WR35","57","128","76.4","17.1","-"
"73",7,"Alvin Kamara",NO,"RB21","61","98","76.8","12.2","-"
"74",7,"Bo Nix",DEN,"QB11","54","123","76.9","21.2","-"
"75",7,"Caleb Williams",CHI,"QB12","52","116","78.5","17.9","-"
"76",7,"Davante Adams",LAR,"WR36","30","112","79.8","24.9","-"
"77",7,"Dalton Kincaid",BUF,"TE8","63","101","80.2","10.2","-"
"78",7,"Chris Godwin",TB,"WR37","53","104","80.6","12.8","-"
"79",7,"Courtland Sutton",DEN,"WR38","33","111","81.3","23.2","-"
"80",7,"Mark Andrews",BAL,"TE9","48","138","82.3","28.7","-"
"81",7,"Tyrone Tracy Jr.",NYG,"RB22","59","115","83.2","14.4","-"
"82",7,"Khalil Shakir",BUF,"WR39","62","100","83.9","13.6","-"
"83",7,"Isiah Pacheco",KC,"RB23","56","144","84.2","22.2","-"
"84",7,"Luther Burden III",FA,"WR40","42","125","84.3","25.1","-"
"85",7,"Drake Maye",NE,"QB13","49","126","85.2","25.0","-"
"86",7,"Matthew Golden",FA,"WR41","67","99","87.3","9.1","-"
"87",7,"Brian Robinson Jr.",WAS,"RB24","59","117","88.2","14.0","-"
"88",7,"Josh Downs",IND,"WR42","62","113","88.4","15.2","-"
"89",7,"Tucker Kraft",GB,"TE10","53","203","89.0","37.3","-"
"90",7,"Quinshon Judkins",FA,"RB25","41","181","89.8","46.8","-"
"91",7,"Najee Harris",LAC,"RB26","55","136","89.8","17.2","-"
"92",7,"Tony Pollard",TEN,"RB27","71","108","91.4","10.6","-"
"93",7,"Travis Hunter",FA,"WR43","40","148","91.9","36.7","-"
"94",7,"Brock Purdy",SF,"QB14","54","135","91.9","21.9","-"
"95",7,"Colston Loveland",FA,"TE11","43","128","92.4","22.4","-"
"96",7,"Evan Engram",DEN,"TE12","58","120","92.5","17.2","-"
"97",7,"Jalen McMillan",TB,"WR44","60","125","93.3","16.1","-"
"98",7,"Baker Mayfield",TB,"QB15","45","151","94.1","27.8","-"
"99",7,"Michael Pittman Jr.",IND,"WR45","67","127","94.7","16.6","-"
"100",8,"James Conner",ARI,"RB28","62","136","98.2","21.9","-"
"101",8,"Ricky Pearsall",SF,"WR46","61","155","98.4","24.9","-"
"102",8,"Jared Goff",DET,"QB16","46","147","100.4","30.4","-"
"103",8,"Deebo Samuel Sr.",WAS,"WR47","76","151","100.5","19.1","-"
"104",8,"Calvin Ridley",TEN,"WR48","73","127","103.5","15.8","-"
"105",8,"Travis Etienne Jr.",JAC,"RB29","65","141","104.5","24.0","-"
"106",8,"Rhamondre Stevenson",NE,"RB30","66","135","107.4","19.4","-"
"107",8,"Kyle Pitts",ATL,"TE13","69","160","108.4","23.7","-"
"108",8,"Jakobi Meyers",LV,"WR49","83","134","110.2","13.9","-"
"109",8,"Jonnu Smith",MIA,"TE14","58","164","110.3","28.2","-"
"110",8,"Trevor Lawrence",JAC,"QB17","84","127","110.8","13.3","-"
"111",8,"Jauan Jennings",SF,"WR50","73","137","111.2","16.4","-"
"112",8,"Travis Kelce",KC,"TE15","69","153","111.6","26.8","-"
"113",8,"Dak Prescott",DAL,"QB18","74","157","112.3","17.9","-"
"114",8,"Keon Coleman",BUF,"WR51","77","183","115.6","25.2","-"
"115",8,"Aaron Jones Sr.",MIN,"RB31","84","164","116.5","25.7","-"
"116",8,"Cooper Kupp",SEA,"WR52","97","158","116.6","19.4","-"
"117",8,"D'Andre Swift",CHI,"RB32","77","146","117.9","21.3","-"
"118",8,"Stefon Diggs",NE,"WR53","94","154","119.7","16.9","-"
"119",8,"Jayden Higgins",FA,"WR54","80","157","121.9","21.2","-"
"120",8,"Darnell Mooney",ATL,"WR55","97","174","123.0","19.4","-"
"121",9,"Dallas Goedert",PHI,"TE16","107","173","127.1","15.7","-"
"122",9,"Zach Charbonnet",SEA,"RB33","87","158","127.2","21.4","-"
"123",9,"Rashid Shaheed",NO,"WR56","102","189","127.3","20.8","-"
"124",9,"Jaylen Warren",PIT,"RB34","66","177","127.4","30.9","-"
"125",9,"J.J. McCarthy",MIN,"QB19","89","202","127.8","28.7","-"
"126",9,"Tua Tagovailoa",MIA,"QB20","96","183","127.9","26.2","-"
"127",9,"Tre Harris",FA,"WR57","65","215","128.1","39.4","-"
"128",9,"Christian Kirk",HOU,"WR58","93","177","129.8","20.9","-"
"129",9,"Jake Ferguson",DAL,"TE17","112","178","130.3","16.2","-"
"130",9,"Cam Ward",FA,"QB21","91","168","134.1","19.5","-"
"131",9,"Michael Penix Jr.",ATL,"QB22","106","181","136.5","19.8","-"
"132",9,"Rachaad White",TB,"RB35","90","181","136.6","21.7","-"
"133",9,"Jaylin Noel",FA,"WR59","82","209","137.1","40.7","-"
"134",9,"Tank Bigsby",JAC,"RB36","97","182","137.2","27.4","-"
"135",9,"Pat Freiermuth",PIT,"TE18","121","180","139.3","16.4","-"
"136",9,"Bryce Young",CAR,"QB23","100","164","139.7","16.0","-"
"137",9,"Trey Benson",ARI,"RB37","76","196","140.3","36.0","-"
"138",9,"Anthony Richardson",IND,"QB24","84","213","142.4","33.6","-"
"139",9,"Cole Kmet",CHI,"TE19","114","211","143.7","25.1","-"
"140",9,"Romeo Doubs",GB,"WR60","113","185","143.9","20.3","-"
"141",9,"Kaleb Johnson",FA,"RB38","51","300","144.1","86.3","-"
"142",9,"Isaiah Likely",BAL,"TE20","103","217","144.6","34.1","-"
"143",9,"Elic Ayomanor",FA,"WR61","96","248","147.4","43.5","-"
"144",9,"Rashod Bateman",BAL,"WR62","108","208","148.6","25.3","-"
"145",9,"Tyjae Spears",TEN,"RB39","105","179","149.8","21.1","-"
"146",9,"Bhayshul Tuten",FA,"RB40","103","217","150.1","35.4","-"
"147",9,"Tank Dell",HOU,"WR63","105","230","152.6","38.8","-"
"148",9,"Marvin Mims Jr.",DEN,"WR64","114","216","153.4","27.6","-"
"149",9,"Xavier Legette",CAR,"WR65","125","184","153.4","15.8","-"
"150",9,"Shedeur Sanders",FA,"QB25","132","203","154.0","19.6","-"
"151",9,"Dylan Sampson",FA,"RB41","108","221","155.6","27.8","-"
"152",9,"Quentin Johnston",LAC,"WR66","115","207","155.8","26.6","-"
"153",9,"Blake Corum",LAR,"RB42","104","229","156.9","28.6","-"
"154",9,"Rico Dowdle",CAR,"RB43","110","191","157.1","26.6","-"
"155",9,"Sam Darnold",SEA,"QB26","111","280","157.6","40.7","-"
"156",9,"Cam Skattebo",FA,"RB44","75","296","157.9","56.4","-"
"157",9,"Cade Otton",TB,"TE21","117","250","159.6","29.1","-"
"158",9,"Cedric Tillman",CLE,"WR67","122","216","160.1","26.1","-"
"159",10,"Devin Neal",FA,"RB45","74","263","161.0","51.4","-"
"160",10,"Marquise Brown",KC,"WR68","121","196","161.3","21.9","-"
"161",10,"Javonte Williams",DAL,"RB46","112","200","163.4","26.0","-"
"162",10,"Justin Fields",NYJ,"QB27","108","220","163.7","37.2","-"
"163",10,"Amari Cooper",FA,"WR69","105","247","163.8","40.5","-"
"164",10,"DJ Giddens",FA,"RB47","102","254","165.0","57.2","-"
"165",10,"Keenan Allen",FA,"WR70","103","246","166.6","38.4","-"
"166",10,"Jalen Coker",CAR,"WR71","132","202","168.7","19.8","-"
"167",10,"Ray Davis",BUF,"RB48","118","201","169.3","20.1","-"
"168",10,"Elijah Arroyo",FA,"TE22","147","201","169.8","17.3","-"
"169",10,"Matthew Stafford",LAR,"QB28","136","247","170.7","34.4","-"
"170",10,"Damien Martinez",FA,"RB49","135","220","171.9","28.4","-"
"171",10,"Adonai Mitchell",IND,"WR72","132","212","172.3","22.0","-"
"172",10,"Hunter Henry",NE,"TE23","123","259","173.1","40.7","-"
"173",10,"Jordan Mason",MIN,"RB50","119","251","173.2","39.1","-"
"174",10,"Isaiah Bond",FA,"WR73","119","289","173.9","51.2","-"
"175",10,"Jaylen Wright",MIA,"RB51","124","241","175.4","29.6","-"
"176",10,"Dontayvion Wicks",GB,"WR74","143","202","175.6","15.6","-"
"177",10,"Christian Watson",GB,"WR75","129","227","176.1","33.1","-"
"178",10,"Wan'Dale Robinson",NYG,"WR76","124","224","177.1","25.8","-"
"179",10,"Ja'Tavion Sanders",CAR,"TE24","134","241","177.5","27.9","-"
"180",10,"Jerome Ford",CLE,"RB52","112","277","177.9","37.4","-"
"181",10,"Geno Smith",LV,"QB29","141","272","178.3","44.5","-"
"182",10,"Harold Fannin Jr.",FA,"TE25","123","275","179.9","41.7","-"
"183",10,"J.K. Dobbins",FA,"RB53","90","269","154.8","43.5","-"
"184",10,"Isaac Guerendo",SF,"RB54","123","352","182.6","52.0","-"
"185",10,"Jalen Royals",FA,"WR77","128","237","183.5","35.5","-"
"186",10,"Tyler Allgeier",ATL,"RB55","146","257","183.8","33.9","-"
"187",10,"DeAndre Hopkins",BAL,"WR78","127","249","185.7","33.1","-"
"188",10,"Braelon Allen",NYJ,"RB56","131","280","186.8","34.0","-"
"189",10,"Dalton Schultz",HOU,"TE26","150","268","187.7","26.8","-"
"190",10,"Joshua Palmer",BUF,"WR79","136","255","190.6","31.6","-"
"191",10,"Jaxson Dart",FA,"QB30","147","289","192.6","44.9","-"
"192",10,"DeMario Douglas",NE,"WR80","157","239","194.6","23.5","-"
